epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0883,1.21308,3.33055,1.43972,0.29955,0.33101,0.33419,0.22469,1.2086,3.19524,1.59098,0.000474298,0.000474298,0.000474298
2,123.967,1.19401,2.76789,1.42753,0.26385,0.46538,0.31923,0.20182,1.25085,2.99087,1.55008,0.00094122,0.00094122,0.00094122
3,177.005,1.18946,2.08993,1.42615,0.39451,0.53458,0.44679,0.3238,1.14929,1.63953,1.48714,0.00139871,0.00139871,0.00139871
4,229.604,1.19048,1.94599,1.42941,0.36184,0.49237,0.4541,0.32778,1.10902,1.80491,1.44819,0.00138656,0.00138656,0.00138656
5,282.702,1.13184,1.81549,1.39748,0.44379,0.45617,0.48172,0.32881,1.2666,1.54533,1.49729,0.00137241,0.00137241,0.00137241
6,320.747,1.12508,1.78518,1.37009,0.34543,0.5453,0.48767,0.34873,1.04577,1.67013,1.31148,0.00135826,0.00135826,0.00135826
7,349.599,1.05038,1.60602,1.33146,0.45072,0.6259,0.54157,0.39761,1.15694,1.4088,1.42581,0.00134412,0.00134412,0.00134412
8,378.43,1.00412,1.55258,1.30362,0.47124,0.61076,0.58418,0.44959,0.93254,1.23075,1.2575,0.00132997,0.00132997,0.00132997
9,407.165,1.00076,1.54158,1.29657,0.51072,0.6382,0.6091,0.48943,0.89617,1.15786,1.23372,0.00131582,0.00131582,0.00131582
10,435.984,0.9805,1.46679,1.28516,0.42682,0.70308,0.59213,0.46186,0.93222,1.1889,1.27992,0.00130168,0.00130168,0.00130168
11,464.846,0.99072,1.46871,1.28024,0.50884,0.61635,0.58814,0.45435,0.99279,1.26099,1.30841,0.00128753,0.00128753,0.00128753
12,494.09,0.98546,1.44518,1.28253,0.58727,0.58819,0.63618,0.50001,0.90387,1.15316,1.23356,0.00127338,0.00127338,0.00127338
