epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.259,1.50366,2.88993,1.72819,0.35194,0.09048,0.01062,0.00511,2.64481,7.77143,2.97167,0.000472297,0.000472297,0.000472297
2,98.1418,1.58911,2.23043,1.81926,0.44022,0.10476,0.06617,0.02732,2.85627,4.49007,3.01779,0.000939239,0.000939239,0.000939239
3,143.741,1.53005,2.18057,1.75266,0.81426,0.12111,0.14116,0.06967,2.28995,3.87883,2.69271,0.00139675,0.00139675,0.00139675
4,189.21,1.55347,2.13388,1.79382,0.79219,0.20136,0.22396,0.11407,2.15163,5.1149,2.58464,0.00138656,0.00138656,0.00138656
5,234.611,1.46089,1.95954,1.72618,0.33064,0.59144,0.40097,0.23838,1.39051,2.29759,1.82907,0.00137241,0.00137241,0.00137241
6,280.001,1.43885,1.87447,1.69509,0.50766,0.59896,0.54889,0.31395,1.53155,1.54001,1.94257,0.00135826,0.00135826,0.00135826
7,325.346,1.35905,1.79401,1.62856,0.51399,0.59162,0.54972,0.3318,1.49313,1.67029,1.89693,0.00134412,0.00134412,0.00134412
8,370.64,1.34513,1.78822,1.63402,0.55462,0.70308,0.59824,0.38892,1.32937,1.56191,1.69497,0.00132997,0.00132997,0.00132997
9,415.898,1.28704,1.69024,1.56953,0.4656,0.69653,0.58559,0.40243,1.29154,1.46492,1.74056,0.00131582,0.00131582,0.00131582
10,464.948,1.27845,1.65831,1.57303,0.45322,0.64428,0.53408,0.34586,1.20984,1.45993,1.58029,0.00130168,0.00130168,0.00130168
11,518.907,1.30943,1.64934,1.57617,0.51723,0.64591,0.5944,0.40729,1.26177,1.38588,1.58596,0.00128753,0.00128753,0.00128753
12,573.835,1.27498,1.59355,1.54871,0.7732,0.53729,0.58499,0.42046,1.29155,1.50253,1.63129,0.00127338,0.00127338,0.00127338
13,628.475,1.22617,1.57007,1.51466,0.50556,0.67853,0.60571,0.42675,1.26061,1.48681,1.6447,0.00125923,0.00125923,0.00125923
14,683.932,1.2166,1.57073,1.51547,0.63317,0.5287,0.55215,0.38147,1.3211,1.43572,1.65043,0.00124509,0.00124509,0.00124509
15,738.38,1.21874,1.53208,1.51148,0.63092,0.64593,0.66078,0.44857,1.19415,1.27557,1.55843,0.00123094,0.00123094,0.00123094
16,793.514,1.15616,1.44755,1.45837,0.50702,0.7465,0.59486,0.40736,1.17467,1.33772,1.52245,0.00121679,0.00121679,0.00121679
17,848.052,1.19878,1.46724,1.48109,0.69838,0.61049,0.64988,0.47202,1.14412,1.31565,1.52868,0.00120265,0.00120265,0.00120265
18,902.942,1.18776,1.42149,1.46432,0.54501,0.66169,0.60673,0.43539,1.21894,1.34462,1.60303,0.0011885,0.0011885,0.0011885
19,950.953,1.15777,1.41256,1.45703,0.75396,0.6267,0.7029,0.4943,1.23902,1.26918,1.58129,0.00117435,0.00117435,0.00117435
20,996.215,1.14074,1.39018,1.44315,0.48828,0.72895,0.60286,0.43566,1.25126,1.26588,1.58487,0.00116021,0.00116021,0.00116021
21,1041.37,1.17598,1.40213,1.47128,0.59551,0.75803,0.70635,0.4788,1.18543,1.3376,1.54794,0.00114606,0.00114606,0.00114606
22,1086.63,1.14132,1.35442,1.43453,0.59214,0.7604,0.71245,0.49772,1.20863,1.18106,1.52671,0.00113191,0.00113191,0.00113191
23,1132.01,1.10757,1.33555,1.42,0.55184,0.75839,0.66975,0.47217,1.18015,1.21167,1.52045,0.00111776,0.00111776,0.00111776
24,1177.15,1.14437,1.31668,1.45222,0.64801,0.7191,0.68984,0.4956,1.18902,1.20451,1.49769,0.00110362,0.00110362,0.00110362
25,1222.29,1.06754,1.29199,1.38949,0.51914,0.70129,0.66329,0.45063,1.26319,1.23093,1.64985,0.00108947,0.00108947,0.00108947
26,1267.4,1.11338,1.28259,1.39446,0.61637,0.74265,0.69769,0.48693,1.2434,1.18729,1.56403,0.00107532,0.00107532,0.00107532
27,1312.55,1.08597,1.31934,1.41235,0.5518,0.72269,0.67393,0.49373,1.15581,1.18019,1.472,0.00106118,0.00106118,0.00106118
28,1357.85,1.10683,1.31528,1.4214,0.60738,0.77591,0.74133,0.5371,1.15014,1.18609,1.48504,0.00104703,0.00104703,0.00104703
29,1403.16,1.12938,1.3448,1.43298,0.68998,0.71224,0.73609,0.50214,1.21334,1.07846,1.53728,0.00103288,0.00103288,0.00103288
30,1448.49,1.08066,1.25454,1.39734,0.66033,0.72909,0.70033,0.50221,1.1919,1.12135,1.54181,0.00101873,0.00101873,0.00101873
31,1493.71,1.08603,1.25849,1.39291,0.66249,0.75346,0.71691,0.51216,1.17085,1.08724,1.49837,0.00100459,0.00100459,0.00100459
32,1538.97,1.05472,1.20228,1.35909,0.60018,0.77674,0.72878,0.52063,1.22733,1.17581,1.54806,0.00099044,0.00099044,0.00099044
33,1584.06,1.07381,1.24903,1.37257,0.59037,0.79552,0.7194,0.51708,1.1895,1.1754,1.50064,0.000976293,0.000976293,0.000976293
34,1629.31,1.04417,1.18561,1.38785,0.69242,0.64976,0.6899,0.49088,1.20447,1.16984,1.55628,0.000962146,0.000962146,0.000962146
35,1674.6,1.09542,1.20841,1.38994,0.64579,0.75525,0.77784,0.54342,1.23418,1.11519,1.53544,0.000947999,0.000947999,0.000947999
36,1720,1.08938,1.24615,1.39998,0.55999,0.73575,0.68367,0.51404,1.14306,1.18034,1.47486,0.000933851,0.000933851,0.000933851
37,1765.2,1.02542,1.17547,1.35791,0.56446,0.74555,0.69241,0.49011,1.18021,1.18659,1.54629,0.000919704,0.000919704,0.000919704
38,1810.4,1.01856,1.14302,1.33821,0.6554,0.7677,0.73427,0.51493,1.22159,1.11295,1.55545,0.000905557,0.000905557,0.000905557
39,1855.56,1.03804,1.12447,1.3563,0.6174,0.80056,0.73749,0.53774,1.14967,1.19524,1.5177,0.00089141,0.00089141,0.00089141
40,1900.71,1.06401,1.18404,1.36573,0.70138,0.75514,0.76455,0.54408,1.18448,1.11175,1.5255,0.000877263,0.000877263,0.000877263
41,1946.02,1.02912,1.14098,1.35845,0.66003,0.78438,0.70628,0.51117,1.20034,1.10576,1.51933,0.000863116,0.000863116,0.000863116
42,1991.71,1.04752,1.14899,1.37115,0.65003,0.74127,0.71021,0.51735,1.1932,1.15045,1.50252,0.000848969,0.000848969,0.000848969
43,2037.22,1.01601,1.12319,1.3464,0.63868,0.73469,0.69245,0.48779,1.22782,1.20973,1.54052,0.000834822,0.000834822,0.000834822
44,2082.51,0.99265,1.07138,1.31587,0.681,0.76407,0.73838,0.53618,1.17291,1.11856,1.50679,0.000820675,0.000820675,0.000820675
45,2127.64,1.00619,1.09108,1.34117,0.62563,0.79838,0.75622,0.55642,1.13225,1.09701,1.48243,0.000806528,0.000806528,0.000806528
46,2172.97,0.99497,1.06489,1.32958,0.69234,0.76049,0.76192,0.55347,1.17402,1.08398,1.50214,0.00079238,0.00079238,0.00079238
47,2218.23,0.98287,1.03687,1.31835,0.62704,0.79312,0.73411,0.54473,1.19878,1.08653,1.50335,0.000778233,0.000778233,0.000778233
48,2263.43,0.98938,1.04821,1.31189,0.73218,0.76062,0.75678,0.55092,1.20149,1.13819,1.51104,0.000764086,0.000764086,0.000764086
49,2308.54,1.00674,1.06187,1.32096,0.67057,0.7357,0.73834,0.52682,1.17718,1.05429,1.48187,0.000749939,0.000749939,0.000749939
50,2353.67,0.96806,1.06384,1.3034,0.70358,0.82323,0.79916,0.58085,1.13736,0.96168,1.45676,0.000735792,0.000735792,0.000735792
51,2399.02,0.96667,1.02517,1.2969,0.77819,0.72349,0.79972,0.5743,1.16116,1.0046,1.52757,0.000721645,0.000721645,0.000721645
52,2444.16,0.96122,1.01378,1.28986,0.67038,0.82805,0.79431,0.56021,1.15662,0.99293,1.52497,0.000707498,0.000707498,0.000707498
53,2489.41,0.9601,1.03752,1.29548,0.67445,0.74583,0.7399,0.5502,1.16453,1.18965,1.48677,0.000693351,0.000693351,0.000693351
54,2534.66,0.9708,1.01375,1.29934,0.74735,0.74544,0.76908,0.56881,1.14598,1.06618,1.45478,0.000679204,0.000679204,0.000679204
55,2579.96,0.94457,0.99456,1.293,0.67539,0.75147,0.74071,0.54345,1.12418,1.11473,1.48059,0.000665057,0.000665057,0.000665057
56,2625.21,0.9717,1.02774,1.30732,0.67846,0.81657,0.75387,0.55858,1.13029,1.06874,1.47227,0.000650909,0.000650909,0.000650909
57,2670.4,0.94796,0.95967,1.29864,0.71781,0.76572,0.74039,0.53868,1.20323,1.18103,1.53055,0.000636762,0.000636762,0.000636762
58,2715.59,0.94419,1.01536,1.29095,0.6821,0.779,0.73578,0.53488,1.19551,1.09378,1.49976,0.000622615,0.000622615,0.000622615
59,2760.75,0.96304,0.96767,1.29334,0.74154,0.74114,0.76153,0.54534,1.17075,1.03971,1.48999,0.000608468,0.000608468,0.000608468
60,2805.96,0.93251,0.95534,1.27633,0.7289,0.75822,0.75619,0.5549,1.17309,1.04871,1.46268,0.000594321,0.000594321,0.000594321
61,2851.11,0.89912,0.96418,1.24381,0.80461,0.71262,0.75588,0.5496,1.18171,1.01253,1.49269,0.000580174,0.000580174,0.000580174
62,2896.41,0.92906,0.94835,1.27533,0.74618,0.73497,0.76495,0.54956,1.14381,1.02858,1.45233,0.000566027,0.000566027,0.000566027
63,2941.69,0.89223,0.98826,1.24359,0.69927,0.74338,0.74439,0.54523,1.13284,1.09019,1.45194,0.00055188,0.00055188,0.00055188
64,2986.82,0.895,0.9262,1.2541,0.72535,0.81893,0.78869,0.56237,1.14197,1.0319,1.48762,0.000537733,0.000537733,0.000537733
65,3031.98,0.87546,0.89571,1.23384,0.72869,0.72314,0.73818,0.55925,1.12396,1.06041,1.45051,0.000523586,0.000523586,0.000523586
