epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5539,1.45565,2.85061,1.80358,0.60835,0.41679,0.31479,0.15658,1.76214,2.56998,2.2534,0.000472297,0.000472297,0.000472297
2,83.9245,1.47711,2.08327,1.78876,0.37113,0.38376,0.27404,0.15573,1.88386,2.55715,2.44056,0.000939239,0.000939239,0.000939239
3,117.543,1.46941,2.04438,1.7794,0.54705,0.20476,0.24821,0.12623,1.94866,2.57312,2.3832,0.00139675,0.00139675,0.00139675
4,151.076,1.47477,1.9715,1.79389,0.85259,0.19524,0.25212,0.13245,1.90174,2.75126,2.30152,0.00138656,0.00138656,0.00138656
5,184.169,1.37958,1.82208,1.70541,0.49627,0.67433,0.58619,0.41059,1.329,1.59491,1.7944,0.00137241,0.00137241,0.00137241
6,217.418,1.35721,1.74108,1.65717,0.51492,0.60142,0.57433,0.37546,1.3979,1.53023,1.86534,0.00135826,0.00135826,0.00135826
7,250.515,1.2883,1.68097,1.63522,0.55675,0.43553,0.32638,0.18177,1.55243,1.7555,1.96628,0.00134412,0.00134412,0.00134412
8,283.816,1.27421,1.6297,1.61499,0.27975,0.70295,0.55075,0.34937,1.35824,2.13733,1.96712,0.00132997,0.00132997,0.00132997
9,316.908,1.22466,1.5445,1.55765,0.75329,0.53346,0.56178,0.37551,1.31009,1.45169,1.75249,0.00131582,0.00131582,0.00131582
10,350.623,1.19735,1.53559,1.5713,0.42117,0.63557,0.60758,0.42326,1.37154,1.54613,1.81367,0.00130168,0.00130168,0.00130168
11,384.343,1.23032,1.53032,1.5705,0.58976,0.68556,0.59723,0.39916,1.25188,1.41383,1.72547,0.00128753,0.00128753,0.00128753
